IMDb_ID,Title,Year,Genres,Actors,Overview,Rating,Poster_URL,Reviews
tt15354916,Jawan,2023,"Action, Crime, Thriller","Shah Rukh Khan, Nayanthara, Vijay Sethupathi, Deepika Padukone, Sanjay Dutt","An emotional journey of a prison warden, driven by a personal vendetta while keeping up to a promise made years ago, recruits inmates to commit outrageous crimes that shed light on corruption and injustice, in an attempt to get even with his past,  and that leads him to an unexpected reunion.",7.2,https://image.tmdb.org/t/p/w500/ddAHq5R52rZSuTq3nV7AphPo7Ff.jpg,"I had a lot of fun watching **Jawan**. It is a well-made and entertaining action drama thriller film that tackles some important social issues. The action sequences are top-notch, the cinematography is stunning, and the performances are all excellent, especially those of **Shah Rukh Khan** and Vijay Sethupathi.

I particularly enjoyed the film's social message. It is important to highlight these issues in popular media, and Jawan does so in a way that is both entertaining and thought-provoking.

Jawan contains all of the massy elements that the audience anticipated for. Other flaws can be overlooked (You know what I am talking about) because it does not bore anyone from the beginning to the end. However, as the film contained more massy and over the top themes, I believe Vijay Sethupathi's character was underutilized. The final fight between SRK and Vijay Sethupathi should have been depicted more magnificently."
tt15748830,Jaane Jaan,2023,"Crime, Thriller, Drama","Kareena Kapoor Khan, Jaideep Ahlawat, Vijay Varma, Naisha Khanna, Saurabh Sachdeva","When a single mother her teenage daughter becomes ensnared in a deadly crime,  find an unexpected ally in their neighbor, a simple, doting but genius teacher math teacher comes to aid, while a tenacious cop digs into the case.",7.117,https://image.tmdb.org/t/p/w500/oaUOV9VCNM5MjrmonqgH4o3XNwQ.jpg,"aane Jaan is a suspenseful rollercoaster ride that hooks you from the very beginning and doesn't let go until the final, shocking twist. The story follows Maya (Kareena Kapoor Khan), a single mother embroiled in a murder mystery, and Naren (Jaideep Ahlawat), her enigmatic neighbor who offers his peculiar brand of assistance. As a relentless police officer (Vijay Varma) digs into the case, the lines between suspicion and trust blur, leaving the audience guessing until the very end.

The film's strength lies in its intricate plot, masterfully woven by director Sujoy Ghosh. Each character holds their own secrets, adding layers of intrigue and misdirection. The beautiful backdrop of Kalimpong adds another dimension, its misty hills and quaint charm creating a palpable atmosphere.

The performances are a major highlight. Kapoor Khan delivers a nuanced portrayal of a desperate woman caught in a web of her own making. Ahlawat is captivating as the complex and enigmatic Naren, while Varma shines as the tenacious cop determined to uncover the truth. The supporting cast, too, deserves praise for their believable portrayals.

Jaane Jaan isn't without its flaws. The pacing could be tighter in parts, and some plot points might feel slightly contrived. However, these are minor quibbles in an overall engaging and suspenseful experience.

If you're looking for a well-crafted whodunit with strong performances and stunning visuals, Jaane Jaan is definitely worth your time. Just remember, keep guessing, because the truth might surprise you."
tt11663228,Jailer,2023,"Action, Crime, Thriller, Comedy, Adventure","Rajinikanth, Vinayakan, Vasanth Ravi, Yogi Babu, Ramya Krishnan","Muthuvel Pandian, a retired, stern yet compassionate jailer lives a peaceful life with his family, but trouble knocks his door when his cop son’s tryst with an antique mafia gang goes awry and forces Muthu to step back into a dark world he had voluntarily took a break from.",6.7,https://image.tmdb.org/t/p/w500/pTmMxAHqX4vsIDE6HPPxOR0Q6TN.jpg,No reviews available
tt14993250,Rocky Aur Rani Kii Prem Kahaani,2023,"Comedy, Drama, Family, Romance","Alia Bhatt, Ranveer Singh, Jaya Bachchan, Shabana Azmi, Dharmendra","Gym-freak brat Rocky falls in love with Rani, who comes from a well-educated Bengali family. Being from polar opposite worlds, the two decide to switch their families to adjust to each other's cultures and backgrounds and to know if their marriage will survive. Rocky and Rani are trapped in a world where they are united by love but divided by families and the ultimate question is will they fit in?",6.3,https://image.tmdb.org/t/p/w500/vTQIqlxUkOuyf2UKhlM2OUaFGKz.jpg,No reviews available
tt15732324,OMG 2,2023,"Comedy, Drama","Pankaj Tripathi, Akshay Kumar, Yami Gautam, Pavan Malhotra, Arun Govil","Life is bliss until one day Kanti Sharan Mudgal’s son Vivek is blamed for immoral conduct and expelled from school. Overwhelmed, Kanti plans to leave town until a divine intervention leads him to seek justice by taking those responsible to court.",7.25,https://image.tmdb.org/t/p/w500/kApiO3oL6t100aCtkcwEhk2kqgK.jpg,No reviews available
tt18266472,Sukhee,2023,"Comedy, Drama","Shilpa Shetty Kundra, Chaitannya Choudhry, Maahi Jain, Kusha Kapila, Dilnaz Irani","Sukhpreet ‘Sukhee’ Kalra, a 38-year-old Punjabi housewife, goes to Delhi to attend her school reunion. Sukhee relives the 17-year-old version of herself whilst going through a plethora of experiences in a span of just seven days, coming out rekindled, reborn and making the most difficult transition in her life – from being a wife and a mother to being a woman again.",5.0,https://image.tmdb.org/t/p/w500/1MHZRVa4TKrVtVe5vZJRs4QIx8H.jpg,No reviews available
tt18561736,The Great Indian Family,2023,"Comedy, Drama","Vicky Kaushal, Manushi Chhillar, Kumud Mishra, Manoj Pahwa, Bhuvan Arora",The film is set in the fictional town of Balrampur where Vedvyas Tripathi better known as Bhajan Kumar lives with his family headed by his father Pandit Siyaram Tripathi. Bhajan Kumar’s life with his family was going well till a question on his identity arises that throws the city in a flurry of rumour and apprehension. Will he survive or fall prey to this onslaught?,4.6,https://image.tmdb.org/t/p/w500/9Gxe853oX3URrNj8PKGfvoBF3tx.jpg,No reviews available
tt3691740,The BFG,2016,"Adventure, Family, Fantasy","Mark Rylance, Ruby Barnhill, Rebecca Hall, Jemaine Clement, Bill Hader","An orphan little girl befriends a benevolent giant who takes her to Giant Country, where they attempt to stop the man-eating giants that are invading the human world.",6.281,https://image.tmdb.org/t/p/w500/vssXmCrfCiARkQ0512oG0wjh2h9.jpg,"""The only element of the entire production that inspires any kind of wonder is just how far from a satisfying adaptation the film proves to be...""

Read the full review here: http://screen-space.squarespace.com/reviews/2016/5/15/the-bfg.html

**Little Sophie's giant adventure.**

I did not dislike it, but I thought it was not creative enough. I had seen the British animation and this one retained the same story. Of course, which was originally from the book, but nothing new other than a decent computer graphics. I liked the performance of the little girl who had played the Sophie. She was the only live character until the final stage where more joins her. So she was wonderful along with Mark Rylance's CGI role.

Straight to the point, the adventure begins right away. Sophie, the ten year old orphan girl was snatched by a giant named BFG after she witnessed him wandering on the street through her dorm room window on one midnight. Fearing she might expose the giant's existence, so he had to take her with him to his country. Then there they become very close, but a new threat arises when the other giants suspect of a human's existence in their enclosure. So fighting them, followed by a permanent solution to menace caused by them is what narrated in the rest.

It was like Peter Jackson's 'The Lovely Bones' for Steven Spielberg, I mean the films that did not work for them. I anticipated a major surge in this by the family film specialist Spielber. Because I usually love his film, tell me who won't. From children to adults, his films targets all ages. But if you had seen the old version, then you will lose half the interest. That's definitely won't be the same for the kids, they will love it. There's no harm for watching it once, so go for it.

_6/10_

The animated '89 version of _The BFG_ was a staple of my youth, so naturally I was excited for a Steven Spielberg redo. Unfortunately, I don't think the tale lends itself well to the live action format. That, or the hands making this piece were unable to concentrate the narrative to where it went. In either case, the end product is a film with many tiny endearing moments of nostalgia that at no point come together to create a laudable whole.

_Final rating:★★ - Had some things that appeal to me, but a poor finished product._"
tt12844910,Pathaan,2023,"Action, Adventure, Thriller","Shah Rukh Khan, Deepika Padukone, John Abraham, Dimple Kapadia, Ashutosh Rana","A soldier caught by enemies and presumed dead comes back to complete his mission, accompanied by old companions and foes.",6.5,https://image.tmdb.org/t/p/w500/cQOuFy19m0B8kpui7enCthaI8rP.jpg,"Great Movie, but one time watch, It was a fan service, the craze for SRK was real, it was a great comeback for him.

Pathaan delivers explosive action, stunning visuals, and a charismatic duo in Shahrukh Khan and Deepika Padukone. However, the familiar spy-thriller plot and predictable twists leave little room for surprise.

Khan's seasoned charm shines as Pathaan, while Padukone brings both strength and allure to Rubina. Their chemistry fuels the action, which is expertly choreographed and visually impressive. Special effects seamlessly blend with practical stunts, creating a believable spectacle. The tight editing keeps the pace relentless, ensuring you're never bored.

Salman Khan's cameo as Tiger is a crowd-pleaser, hinting at a future shared universe that excites fans. But his brief appearance leaves you wanting more.

The story, while thrilling, relies on recycled tropes and predictable villains. The action, though well-executed, sometimes pushes the boundaries of reality. If you're looking for a thought-provoking experience, Pathaan might fall short.

However, if you crave non-stop action, stunning visuals, and a dose of nostalgia, Pathaan delivers. It's a fun, adrenaline-fueled ride, but don't expect a groundbreaking narrative."
tt15464390,Mastaney,2023,"Action, Drama, History","Tarsem Jassar, Simi Chahal, Gurpreet Ghuggi, Karamjit Anmol, Baninder Bunny","Set in 1739, Nader Shah's undefeated army is attacked by Sikh rebellions. Nadar demands their arrest to no avail. Five civilians are hired to play Sikh rebels but over time, they learn the Sikh way.",10.0,https://image.tmdb.org/t/p/w500/8vrlTSiMcNlnCQn6oNcgbbKbSn3.jpg,"This is absolutely the right step needed for Punjabi Cinema.
This is the stepping stone that hopefully changes the Punjabi cinema industry and we get many more movies on Sikh History.

The first 10-15 minutes are absolutely powerful.
However, from there it's just comedy + romantic story + a bit of Qalandar's backstory.
The jokes are definitely very funny and got many laughs from me.
The last 30-40 minutes are the real eye catching masterpiece filled with goosebump moments.

Also, I found myself really appreciating details like the set design, costumes and dialogues.
Overall, this is an absolutely commendable effort and hopefully we get MANY MORE movies about Sikh History.
This was also one of the best theatrical experience I've ever experienced.

I NEED A MAHARAJA RANJIT SINGH MOVIE PLEASEEEEEEE"
tt1187043,3 Idiots,2009,"Drama, Comedy","Aamir Khan, R. Madhavan, Sharman Joshi, Kareena Kapoor Khan, Boman Irani","Rascal. Joker. Dreamer. Genius... You've never met a college student quite like ""Rancho."" From the moment he arrives at India's most prestigious university, Rancho's outlandish schemes turn the campus upside down—along with the lives of his two newfound best friends. Together, they make life miserable for ""Virus,"" the school’s uptight and heartless dean. But when Rancho catches the eye of the dean's daughter, Virus sets his sights on flunking out the ""3 idiots"" once and for all.",7.997,https://image.tmdb.org/t/p/w500/66A9MqXOyVFCssoloscw79z8Tew.jpg,Best Movie
tt14914988,Satyaprem Ki Katha,2023,"Drama, Romance","Kartik Aaryan, Kiara Advani, Gajraj Rao, Supriya Pathak, Siddharth Randeria","A middle-class boy in Ahmedabad, Satyaprem falling in one-sided love with Katha, who is coping with her breakup with Tapan. Through the journey, they discover each other's life and complement in accomplishing what was left halfway.",6.8,https://image.tmdb.org/t/p/w500/99DkKzMm7SrNw8p6jozCkKmOnTy.jpg,No reviews available
